time,temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation,cape,convective_inhibition,location,latitude,longitude,elevation_m,IWV_mm,CTT_K
2025-06-15T00:00,12.1,90,18.4,0.0,1359.7,-98.1,Kedarnath (Garhwal),30.7346,79.0669,3583,35.45,257.15
2025-06-15T01:00,10.8,93,27.9,0.59,951.5,-88.4,Kedarnath (Garhwal),30.7346,79.0669,3583,35.82,259.06
2025-06-15T02:00,11.4,90,5.9,0.0,944.8,-48.2,Kedarnath (Garhwal),30.7346,79.0669,3583,35.35,258.83
2025-06-15T03:00,12.3,92,21.6,0.0,473.3,-155.0,Kedarnath (Garhwal),30.7346,79.0669,3583,35.81,276.83
2025-06-15T04:00,10.3,88,23.3,0.0,356.8,-130.7,Kedarnath (Garhwal),30.7346,79.0669,3583,35.04,249.37
2025-06-15T05:00,10.7,94,27.6,0.0,1332.9,-40.8,Kedarnath (Garhwal),30.7346,79.0669,3583,35.86,261.19
2025-06-15T06:00,13.4,84,9.7,0.29,906.5,-72.5,Kedarnath (Garhwal),30.7346,79.0669,3583,34.86,255.0
2025-06-15T07:00,13.2,93,27.6,0.0,790.8,-100.8,Kedarnath (Garhwal),30.7346,79.0669,3583,36.05,275.3
2025-06-15T08:00,12.5,84,9.6,0.0,1117.4,-100.3,Kedarnath (Garhwal),30.7346,79.0669,3583,34.66,278.46
2025-06-15T09:00,14.7,76,6.4,0.36,727.0,-138.6,Kedarnath (Garhwal),30.7346,79.0669,3583,33.87,276.26
2025-06-15T10:00,14.3,81,16.0,0.0,951.9,-149.7,Kedarnath (Garhwal),30.7346,79.0669,3583,34.48,245.67
2025-06-15T11:00,15.2,76,13.3,0.2,1031.0,-38.8,Kedarnath (Garhwal),30.7346,79.0669,3583,33.87,255.48
2025-06-15T12:00,16.8,80,20.6,0.21,1348.9,-21.2,Kedarnath (Garhwal),30.7346,79.0669,3583,34.76,279.92
2025-06-15T13:00,14.7,73,78.4,30.61,3212.7,-12.4,Kedarnath (Garhwal),30.7346,79.0669,3583,44.09,233.74
2025-06-15T14:00,15.3,73,21.6,0.0,1040.0,-34.6,Kedarnath (Garhwal),30.7346,79.0669,3583,33.54,258.97
2025-06-15T15:00,16.8,67,19.5,0.0,229.4,-62.9,Kedarnath (Garhwal),30.7346,79.0669,3583,32.84,264.22
2025-06-15T16:00,16.2,73,20.7,0.0,207.3,-34.1,Kedarnath (Garhwal),30.7346,79.0669,3583,33.65,275.41
2025-06-15T17:00,17.4,66,21.3,0.0,490.7,-87.0,Kedarnath (Garhwal),30.7346,79.0669,3583,32.74,250.08
2025-06-15T18:00,15.4,71,8.5,0.0,1236.1,-76.2,Kedarnath (Garhwal),30.7346,79.0669,3583,33.14,255.24
2025-06-15T19:00,14.1,82,61.2,26.9,2561.6,-32.4,Kedarnath (Garhwal),30.7346,79.0669,3583,59.66,227.07
2025-06-15T20:00,16.7,83,71.6,24.1,3587.1,-25.9,Kedarnath (Garhwal),30.7346,79.0669,3583,57.14,226.09
2025-06-15T21:00,13.7,84,18.0,0.0,481.6,-62.4,Kedarnath (Garhwal),30.7346,79.0669,3583,34.83,255.15
2025-06-15T22:00,13.2,80,25.3,0.77,1064.8,-76.2,Kedarnath (Garhwal),30.7346,79.0669,3583,34.2,250.55
2025-06-15T23:00,10.5,85,23.0,0.54,682.9,-34.4,Kedarnath (Garhwal),30.7346,79.0669,3583,34.62,251.62
2025-06-16T00:00,10.9,87,26.6,0.0,899.9,-85.4,Kedarnath (Garhwal),30.7346,79.0669,3583,34.9,256.91
2025-06-16T01:00,11.1,83,24.9,0.0,1192.1,-38.2,Kedarnath (Garhwal),30.7346,79.0669,3583,34.43,264.77
2025-06-16T02:00,9.2,95,26.5,0.0,1331.6,-79.1,Kedarnath (Garhwal),30.7346,79.0669,3583,35.8,258.21
2025-06-16T03:00,11.0,93,40.8,53.52,2342.7,-20.8,Kedarnath (Garhwal),30.7346,79.0669,3583,62.67,210.08
2025-06-16T04:00,9.9,88,21.2,0.0,1359.3,-126.5,Kedarnath (Garhwal),30.7346,79.0669,3583,34.9,278.28
2025-06-16T05:00,10.6,88,65.3,44.04,3199.3,-7.6,Kedarnath (Garhwal),30.7346,79.0669,3583,58.97,216.93
2025-06-16T06:00,10.8,88,63.8,59.01,2317.7,-6.3,Kedarnath (Garhwal),30.7346,79.0669,3583,63.82,217.5
2025-06-16T07:00,14.5,77,49.3,21.08,3368.8,-32.7,Kedarnath (Garhwal),30.7346,79.0669,3583,56.74,230.08
2025-06-16T08:00,13.1,83,6.2,0.0,350.9,-123.2,Kedarnath (Garhwal),30.7346,79.0669,3583,34.61,279.11
2025-06-16T09:00,12.7,79,20.3,0.91,895.0,-31.9,Kedarnath (Garhwal),30.7346,79.0669,3583,34.05,246.51
2025-06-16T10:00,15.9,76,26.0,0.74,319.8,-116.3,Kedarnath (Garhwal),30.7346,79.0669,3583,34.02,253.47
2025-06-16T11:00,14.3,77,25.8,0.0,237.7,-123.1,Kedarnath (Garhwal),30.7346,79.0669,3583,33.98,256.56
2025-06-16T12:00,16.7,84,22.5,0.0,1253.2,-25.8,Kedarnath (Garhwal),30.7346,79.0669,3583,35.32,258.92
2025-06-16T13:00,14.7,79,63.3,29.81,3166.4,-8.1,Kedarnath (Garhwal),30.7346,79.0669,3583,50.31,223.86
2025-06-16T14:00,15.8,73,35.0,36.99,2882.4,-17.9,Kedarnath (Garhwal),30.7346,79.0669,3583,56.27,216.69
2025-06-16T15:00,17.7,77,58.3,18.81,2820.4,-44.0,Kedarnath (Garhwal),30.7346,79.0669,3583,49.7,203.82
2025-06-16T16:00,18.3,81,15.9,0.0,1052.2,-151.2,Kedarnath (Garhwal),30.7346,79.0669,3583,35.03,266.12
2025-06-16T17:00,17.2,80,17.2,0.0,898.7,-158.6,Kedarnath (Garhwal),30.7346,79.0669,3583,34.71,253.37
2025-06-16T18:00,16.3,77,74.9,34.53,2548.5,-22.9,Kedarnath (Garhwal),30.7346,79.0669,3583,43.13,200.82
2025-06-16T19:00,15.4,76,63.8,37.94,2953.9,-28.6,Kedarnath (Garhwal),30.7346,79.0669,3583,50.79,203.2
2025-06-16T20:00,13.1,83,57.1,42.91,2790.8,-6.6,Kedarnath (Garhwal),30.7346,79.0669,3583,52.65,210.14
2025-06-16T21:00,13.1,84,56.7,62.15,2865.5,-13.9,Kedarnath (Garhwal),30.7346,79.0669,3583,67.08,227.32
2025-06-16T22:00,12.5,87,17.9,0.39,856.2,-45.2,Kedarnath (Garhwal),30.7346,79.0669,3583,35.2,261.05
2025-06-16T23:00,13.5,88,17.1,0.0,1009.2,-39.2,Kedarnath (Garhwal),30.7346,79.0669,3583,35.43,279.82
2025-06-17T00:00,11.9,91,14.4,0.44,330.7,-109.1,Kedarnath (Garhwal),30.7346,79.0669,3583,35.65,262.44
2025-06-17T01:00,8.9,86,55.0,30.23,3149.7,-12.6,Kedarnath (Garhwal),30.7346,79.0669,3583,53.96,234.62
2025-06-17T02:00,11.0,94,27.5,0.11,1332.4,-154.4,Kedarnath (Garhwal),30.7346,79.0669,3583,35.94,263.25
2025-06-17T03:00,10.0,90,20.3,0.0,1062.0,-54.6,Kedarnath (Garhwal),30.7346,79.0669,3583,35.2,267.42
2025-06-17T04:00,9.8,97,5.2,0.0,1126.0,-89.8,Kedarnath (Garhwal),30.7346,79.0669,3583,36.2,245.42
2025-06-17T05:00,11.7,85,12.4,0.78,474.4,-108.8,Kedarnath (Garhwal),30.7346,79.0669,3583,34.78,252.77
2025-06-17T06:00,12.8,94,48.9,61.78,2473.2,-21.6,Kedarnath (Garhwal),30.7346,79.0669,3583,52.13,215.2
2025-06-17T07:00,13.4,86,14.0,1.5,253.9,-126.5,Kedarnath (Garhwal),30.7346,79.0669,3583,35.15,258.01
2025-06-17T08:00,12.1,81,10.8,0.0,892.5,-70.0,Kedarnath (Garhwal),30.7346,79.0669,3583,34.24,272.56
2025-06-17T09:00,13.6,80,58.8,15.97,2287.4,-47.1,Kedarnath (Garhwal),30.7346,79.0669,3583,41.63,208.12
2025-06-17T10:00,15.3,79,83.8,84.43,3066.7,-10.2,Kedarnath (Garhwal),30.7346,79.0669,3583,60.17,202.33
2025-06-17T11:00,16.9,80,14.9,1.12,591.6,-137.6,Kedarnath (Garhwal),30.7346,79.0669,3583,34.75,250.03
2025-06-17T12:00,15.9,79,17.5,0.0,1115.7,-135.2,Kedarnath (Garhwal),30.7346,79.0669,3583,34.46,276.11
2025-06-17T13:00,16.8,74,51.1,28.8,2690.5,-14.1,Kedarnath (Garhwal),30.7346,79.0669,3583,55.31,225.83
2025-06-17T14:00,16.1,75,13.1,0.43,257.2,-121.7,Kedarnath (Garhwal),30.7346,79.0669,3583,33.89,272.09
2025-06-17T15:00,16.1,84,69.8,13.41,3689.6,-23.7,Kedarnath (Garhwal),30.7346,79.0669,3583,52.75,225.64
