timestamp,location,lat,lon,IWV,CAPE,CIN,wind,convergence,CTT,rainfall,storm,lead_time_mins
2026-08-01 00:00,Kedarnath (Garhwal),30.7346,79.0669,34.2,952,-65.0,12.8,0.5,244.4,0.0,0,0
2026-08-01 01:00,Kedarnath (Garhwal),30.7346,79.0669,34.7,940,-64.5,13.5,0.52,244.4,0.0,0,0
2026-08-01 02:00,Kedarnath (Garhwal),30.7346,79.0669,34.5,966,-64.0,12.9,0.54,243.5,0.0,0,0
2026-08-01 03:00,Kedarnath (Garhwal),30.7346,79.0669,34.6,961,-63.5,10.2,0.56,243.2,0.0,0,0
2026-08-01 04:00,Kedarnath (Garhwal),30.7346,79.0669,35.9,940,-63.0,12.5,0.58,243.4,0.0,0,0
2026-08-01 05:00,Kedarnath (Garhwal),30.7346,79.0669,35.6,1035,-62.5,13.8,0.6,242.9,0.0,0,0
2026-08-01 06:00,Kedarnath (Garhwal),30.7346,79.0669,37.2,1052,-62.0,13.5,0.62,244.0,0.0,0,0
2026-08-01 07:00,Kedarnath (Garhwal),30.7346,79.0669,37.0,1128,-61.5,12.7,0.64,243.0,0.0,0,0
2026-08-01 08:00,Kedarnath (Garhwal),30.7346,79.0669,36.8,1102,-61.0,15.7,0.66,239.2,0.0,0,0
2026-08-01 09:00,Kedarnath (Garhwal),30.7346,79.0669,37.3,1190,-60.5,11.8,0.68,240.4,0.0,0,0
2026-08-01 10:00,Kedarnath (Garhwal),30.7346,79.0669,38.4,1188,-60.0,11.4,0.7,238.4,1.2,0,0
2026-08-01 11:00,Kedarnath (Garhwal),30.7346,79.0669,38.0,1158,-59.5,10.2,0.72,238.6,1.2,0,0
2026-08-01 12:00,Kedarnath (Garhwal),30.7346,79.0669,38.8,1175,-59.0,14.6,0.74,238.6,1.2,0,0
2026-08-01 13:00,Kedarnath (Garhwal),30.7346,79.0669,38.6,1260,-58.5,16.8,0.76,238.2,1.2,0,0
2026-08-01 14:00,Kedarnath (Garhwal),30.7346,79.0669,39.7,1289,-58.0,11.4,0.78,239.9,1.2,0,0
2026-08-01 15:00,Kedarnath (Garhwal),30.7346,79.0669,39.2,1269,-57.5,16.0,0.7,237.5,2.0,0,120
2026-08-01 16:00,Kedarnath (Garhwal),30.7346,79.0669,41.0,1348,-54.0,17.4,0.79,235.7,2.8,0,114
2026-08-01 17:00,Kedarnath (Garhwal),30.7346,79.0669,42.4,1561,-50.5,18.8,0.88,233.9,3.6,0,108
2026-08-01 18:00,Kedarnath (Garhwal),30.7346,79.0669,44.7,1700,-47.0,20.2,0.97,232.1,4.4,0,102
2026-08-01 19:00,Kedarnath (Garhwal),30.7346,79.0669,44.9,1823,-43.5,21.6,1.06,230.3,5.2,0,96
2026-08-01 20:00,Kedarnath (Garhwal),30.7346,79.0669,46.9,1896,-40.0,23.0,1.15,228.5,6.0,0,90
2026-08-01 21:00,Kedarnath (Garhwal),30.7346,79.0669,48.3,2138,-36.5,24.4,1.24,226.7,6.8,0,84
2026-08-01 22:00,Kedarnath (Garhwal),30.7346,79.0669,49.7,2223,-33.0,25.8,1.33,224.9,7.6,1,78
2026-08-01 23:00,Kedarnath (Garhwal),30.7346,79.0669,51.7,2359,-29.5,27.2,1.42,223.1,8.4,1,72
2026-08-02 00:00,Kedarnath (Garhwal),30.7346,79.0669,52.4,2425,-26.0,28.6,1.51,221.3,9.2,1,66
2026-08-02 01:00,Kedarnath (Garhwal),30.7346,79.0669,54.2,2542,-22.5,30.0,1.6,219.5,10.0,1,60
2026-08-02 02:00,Kedarnath (Garhwal),30.7346,79.0669,55.9,2861,-18.9,36.0,1.84,215.9,17.0,1,54
2026-08-02 03:00,Kedarnath (Garhwal),30.7346,79.0669,58.3,3109,-15.3,42.0,2.08,212.3,24.0,1,48
2026-08-02 04:00,Kedarnath (Garhwal),30.7346,79.0669,61.0,3382,-11.7,48.0,2.32,208.7,31.0,1,42
2026-08-02 05:00,Kedarnath (Garhwal),30.7346,79.0669,63.4,3669,-8.1,54.0,2.56,205.1,38.0,1,36
2026-08-02 06:00,Kedarnath (Garhwal),30.7346,79.0669,67.6,3975,-4.5,60.0,2.8,201.5,75.0,1,15
2026-08-02 07:00,Kedarnath (Garhwal),30.7346,79.0669,65.8,3675,-6.5,57.0,2.64,203.9,95.0,1,15
2026-08-02 08:00,Kedarnath (Garhwal),30.7346,79.0669,62.5,3375,-8.5,54.0,2.48,206.3,68.0,1,15
2026-08-02 09:00,Kedarnath (Garhwal),30.7346,79.0669,60.8,3075,-10.5,51.0,2.32,208.7,38.0,1,15
2026-08-02 10:00,Kedarnath (Garhwal),30.7346,79.0669,59.4,2775,-12.5,48.0,2.16,211.1,38.0,1,15
2026-08-02 11:00,Kedarnath (Garhwal),30.7346,79.0669,58.1,2475,-14.5,45.0,2.0,213.5,17.9,1,0
2026-08-02 12:00,Kedarnath (Garhwal),30.7346,79.0669,56.2,2337,-17.6,42.7,1.88,217.0,17.0,1,0
